Well,ExptType,Experiment,Sample,TargetType,Target,Status,Concentration,Supermix,CopiesPer20uLWell,TotalConfMax,TotalConfMin,PoissonConfMax,PoissonConfMin,Positives,Negatives,Ch1+Ch2+,Ch1+Ch2-,Ch1-Ch2+,Ch1-Ch2-,Linkage,AcceptedDroplets,CNV,TotalCNVMax,TotalCNVMin,PoissonCNVMax,PoissonCNVMin,ReferenceCopies,UnknownCopies,Ratio,TotalRatioMax,TotalRatioMin,PoissonRatioMax,PoissonRatioMin,FractionalAbundance,TotalFractionalAbundanceMax,TotalFractionalAbundanceMin,PoissonFractionalAbundanceMax,PoissonFractionalAbundanceMin,ReferenceAssayNumber,TargetAssayNumber,Threshold,MeanAmplitudeofPositives,MeanAmplitudeofNegatives,MeanAmplitudeTotal,ExperimentComments,MergedWells,TotalConfMax68,TotalConfMin68,PoissonConfMax68,PoissonConfMin68,TotalCNVMax68,TotalCNVMin68,PoissonCNVMax68,PoissonCNVMin68,TotalRatioMax68,TotalRatioMin68,PoissonRatioMax68,PoissonRatioMin68,TotalFractionalAbundanceMax68,TotalFractionalAbundanceMin68,PoissonFractionalAbundanceMax68,PoissonFractionalAbundanceMin68
A01,Absolute Quantification,ABS,S1_01,Ch1Unknown,1,CHECK,5162,ddPCR Supermix for Probes (no dUTP),103240,,,,,18823,237,18615,208,235,2,0,19060,,,,,,,,,,,,,,,,,,1,1,0,11062,1341.9,10941,,,,,,,,,,,,,,,,,,
A01,Absolute Quantification,ABS,S1_01,Ch2Unknown,2,CHECK,5304,ddPCR Supermix for Probes (no dUTP),106080,,,,,18850,210,18615,208,235,2,0,19060,,,,,,,,,,,,,,,,,,1,1,0,9787,2631.1,9708.1,,,,,,,,,,,,,,,,,,
A02,Absolute Quantification,ABS,S1_02,Ch1Unknown,1,Multi,3990,ddPCR Supermix for Probes (no dUTP),79800,,,4080,3900,17497,611,16961,536,591,20,75.3,18108,,,,,,,,0.973,,,1.005,0.941,49.3,,,50.1,48.5,1,1,0,10980,1340.6,10655,,,,,4035,3941,,,,,,,0.989,0.957,,,49.73,48.89
A02,Absolute Quantification,ABS,S1_02,Ch2Unknown,2,Multi,4100,ddPCR Supermix for Probes (no dUTP),82000,,,4200,4010,17552,556,16961,536,591,20,75.3,18108,,,,,,,,0.973,,,1.005,0.941,49.3,,,50.1,48.5,1,1,0,9853.6,2633.4,9631.9,,,,,4148,4050,,,,,,,0.989,0.957,,,49.73,48.89
A03,Absolute Quantification,ABS,S1_03,Ch1Unknown,1,Multi,2970,ddPCR Supermix for Probes (no dUTP),59400,,,3030,2920,17198,1492,15944,1254,1387,105,0,18690,,,,,,,,0.964,,,0.991,0.938,49.1,,,49.8,48.4,1,1,0,10846,1385.7,10091,,,,,3004,2945,,,,,,,0.978,0.951,,,49.44,48.74
A03,Absolute Quantification,ABS,S1_03,Ch2Unknown,2,Multi,3080,ddPCR Supermix for Probes (no dUTP),61600,,,3150,3030,17331,1359,15944,1254,1387,105,0,18690,,,,,,,,0.964,,,0.991,0.938,49.1,,,49.8,48.4,1,1,0,9706.3,2548.5,9185.8,,,,,3115,3053,,,,,,,0.978,0.951,,,49.44,48.74
A04,Absolute Quantification,ABS,S1_04,Ch1Unknown,1,Multi,1994,ddPCR Supermix for Probes (no dUTP),39880,,,2030,1959,15665,3523,12856,2809,2866,657,37.5,19188,,,,,,,,0.99,,,1.015,0.966,49.8,,,50.4,49.1,1,1,0,10836,1393,9102.4,,,,,2012,1976,,,,,,,1.003,0.978,,,50.08,49.44
A04,Absolute Quantification,ABS,S1_04,Ch2Unknown,2,Multi,2013,ddPCR Supermix for Probes (no dUTP),40260,,,2049,1978,15722,3466,12856,2809,2866,657,37.5,19188,,,,,,,,0.99,,,1.015,0.966,49.8,,,50.4,49.1,1,1,0,9694.2,2485.8,8392.1,,,,,2032,1995,,,,,,,1.003,0.978,,,50.08,49.44
A05,Absolute Quantification,ABS,S1_05,Ch1Unknown,1,Multi,980,ddPCR Supermix for Probes (no dUTP),19600,,,999,961,10841,8337,6229,4612,4706,3631,15.5,19178,,,,,,,,0.987,,,1.014,0.96,49.7,,,50.3,49,1,1,0,11012,1366,6818.5,,,,,990,970,,,,,,,1,0.973,,,50.01,49.31
A05,Absolute Quantification,ABS,S1_05,Ch2Unknown,2,Multi,993,ddPCR Supermix for Probes (no dUTP),19860,,,1013,974,10935,8243,6229,4612,4706,3631,15.5,19178,,,,,,,,0.987,,,1.014,0.96,49.7,,,50.3,49,1,1,0,9505.9,2304.3,6410.6,,,,,1003,984,,,,,,,1,0.973,,,50.01,49.31
