Well,ExptType,Experiment,Sample,TargetType,Target,Status,Concentration,Supermix,CopiesPer20uLWell,TotalConfMax,TotalConfMin,PoissonConfMax,PoissonConfMin,Positives,Negatives,Ch1+Ch2+,Ch1+Ch2-,Ch1-Ch2+,Ch1-Ch2-,Linkage,AcceptedDroplets,CNV,TotalCNVMax,TotalCNVMin,PoissonCNVMax,PoissonCNVMin,ReferenceCopies,UnknownCopies,Ratio,TotalRatioMax,TotalRatioMin,PoissonRatioMax,PoissonRatioMin,FractionalAbundance,TotalFractionalAbundanceMax,TotalFractionalAbundanceMin,PoissonFractionalAbundanceMax,PoissonFractionalAbundanceMin,ReferenceAssayNumber,TargetAssayNumber,Threshold,MeanAmplitudeofPositives,MeanAmplitudeofNegatives,MeanAmplitudeTotal,ExperimentComments,MergedWells,TotalConfMax68,TotalConfMin68,PoissonConfMax68,PoissonConfMin68,TotalCNVMax68,TotalCNVMin68,PoissonCNVMax68,PoissonCNVMin68,TotalRatioMax68,TotalRatioMin68,PoissonRatioMax68,PoissonRatioMin68,TotalFractionalAbundanceMax68,TotalFractionalAbundanceMin68,PoissonFractionalAbundanceMax68,PoissonFractionalAbundanceMin68
B09,Absolute Quantification,ABS,S2_09,Ch2Unknown,2,Multi,66,ddPCR Supermix for Probes (no dUTP),1320,,,70,61.9,1036,17965,185,822,851,17143,8.96,19001,,,,,,,,0.97,,,1.06,0.89,49.3,,,51.4,47.1,1,1,0,9276,1941.3,2341.2,,,,,68,63.9,,,,,,,1.014,0.928,,,50.4,48.2
B10,Absolute Quantification,ABS,S2_10,Ch1Unknown,1,Multi,33.1,ddPCR Supermix for Probes (no dUTP),662,,,35.9,30.4,552,19323,89,463,426,18897,4.66,19875,,,,,,,,1.07,,,1.2,0.94,51.8,,,54.8,48.8,1,1,0,10394,1268.3,1521.7,,,,,34.5,31.7,,,,,,,1.14,1.01,,,53.3,50.2
B10,Absolute Quantification,ABS,S2_10,Ch2Unknown,2,Multi,30.9,ddPCR Supermix for Probes (no dUTP),618,,,33.6,28.2,515,19360,89,463,426,18897,4.66,19875,,,,,,,,1.07,,,1.2,0.94,51.8,,,54.8,48.8,1,1,0,9375,1952.1,2144.4,,,,,32.2,29.5,,,,,,,1.14,1.01,,,53.3,50.2
B11,Absolute Quantification,ABS,S2_11,Ch1Unknown,1,Multi,16.9,ddPCR Supermix for Probes (no dUTP),338,,,18.8,15,297,20525,51,246,260,20265,2.71,20822,,,,,,,,0.95,,,1.11,0.8,48.8,,,52.8,44.9,1,1,0,10443,1285.3,1415.9,,,,,17.9,15.9,,,,,,,1.03,0.88,,,50.9,46.8
B11,Absolute Quantification,ABS,S2_11,Ch2Unknown,2,Multi,17.7,ddPCR Supermix for Probes (no dUTP),354,,,19.7,15.7,311,20511,51,246,260,20265,2.71,20822,,,,,,,,0.95,,,1.11,0.8,48.8,,,52.8,44.9,1,1,0,9414.3,1960.4,2071.8,,,,,18.7,16.7,,,,,,,1.03,0.88,,,50.9,46.8
B12,Absolute Quantification,ABS,S2_12,Ch1Unknown,1,Multi,8.4,ddPCR Supermix for Probes (no dUTP),168,,,9.7,7,146,20414,21,125,109,20305,1.16,20560,,,,,,,,1.12,,,1.39,0.86,53,,,59,47,1,1,0,10276,1266.5,1330.5,,,,,9.1,7.7,,,,,,,1.26,0.99,,,55.9,49.9
B12,Absolute Quantification,ABS,S2_12,Ch2Unknown,2,Multi,7.5,ddPCR Supermix for Probes (no dUTP),150,,,8.7,6.2,130,20430,21,125,109,20305,1.16,20560,,,,,,,,1.12,,,1.39,0.86,53,,,59,47,1,1,0,9253.8,1934.3,1980.6,,,,,8.1,6.8,,,,,,,1.26,0.99,,,55.9,49.9
C01,Absolute Quantification,ABS,S3_01,Ch1Unknown,1,Multi,5500,ddPCR Supermix for Probes (no dUTP),110000,,,5690,5340,19097,179,18939,158,171,8,1940,19276,,,,,,,,0.984,,,1.028,0.94,49.6,,,50.7,48.5,1,1,0,10134,1275.2,10052,,,,,5600,5420,,,,,,,1.007,0.962,,,50.2,49
C01,Absolute Quantification,ABS,S3_01,Ch2Unknown,2,Multi,5590,ddPCR Supermix for Probes (no dUTP),111800,,,5790,5430,19110,166,18939,158,171,8,1940,19276,,,,,,,,0.984,,,1.028,0.94,49.6,,,50.7,48.5,1,1,0,9715.7,2446.6,9653.1,,,,,5690,5510,,,,,,,1.007,0.962,,,50.2,49
C02,Absolute Quantification,ABS,S3_02,Ch1Unknown,1,Multi,4350,ddPCR Supermix for Probes (no dUTP),87000,,,4460,4250,18970,481,18566,404,445,36,1410,19451,,,,,,,,0.976,,,1.01,0.943,49.4,,,50.3,48.6,1,1,0,9795.2,1299.5,9585.2,,,,,4410,4300,,,,,,,0.993,0.959,,,49.84,48.97
