,WELL,SAMPLE,CONCENTRATION,TARGET,POSITIVES,NEGATIVES,CH1+CH2+,CH1+CH2-,CH1-CH2+,CH1-CH2-,ACCEPTEDDROPLETS,ESTIMATED_PERCENTAGE,SAME_EST_WITHIN_SAMPLE
1,A01,S1_01,5380,1,18783,196,18570,213,194,2,18979,-1.14,TRUE
2,A01,S1_01,5270,2,18764,215,18570,213,194,2,18979,-1.14,TRUE
3,A02,S1_02,4170,1,19021,567,18500,521,555,12,19588,-3.4,TRUE
4,A02,S1_02,4240,2,19055,533,18500,521,555,12,19588,-3.4,TRUE
5,A03,S1_03,3170,1,17688,1282,16547,1141,1204,78,18970,-1,TRUE
6,A03,S1_03,3230,2,17751,1219,16547,1141,1204,78,18970,-1,TRUE
7,A04,S1_04,2081,1,15507,3188,13003,2504,2652,536,18695,0.94,TRUE
8,A04,S1_04,2137,2,15655,3040,13003,2504,2652,536,18695,0.94,TRUE
9,A05,S1_05,1043,1,11580,8122,7053,4527,4789,3333,19702,1.59,TRUE
10,A05,S1_05,1081,2,11842,7860,7053,4527,4789,3333,19702,1.59,TRUE
11,A06,S1_06,524,1,6559,11684,2373,4186,4256,7428,18243,-0.15,TRUE
12,A06,S1_06,531,2,6629,11614,2373,4186,4256,7428,18243,-0.15,TRUE
13,A07,S1_07,260,1,4023,16251,855,3168,3199,13052,20274,0.88,TRUE
14,A07,S1_07,262,2,4054,16220,855,3168,3199,13052,20274,0.88,TRUE
15,A08,S1_08,130,1,2074,17723,212,1862,1820,15903,19797,-0.04,TRUE
16,A08,S1_08,127,2,2032,17765,212,1862,1820,15903,19797,-0.04,TRUE
17,A09,S1_09,63.5,1,1063,19157,66,997,1004,18153,20220,0.48,TRUE
18,A09,S1_09,64,2,1070,19150,66,997,1004,18153,20220,0.48,TRUE
19,A10,S1_10,31.9,1,563,20463,15,548,517,19946,21026,0.01,TRUE
20,A10,S1_10,30.2,2,532,20494,15,548,517,19946,21026,0.01,TRUE
21,A11,S1_11,14.6,1,235,18842,7,228,250,18592,19077,0.75,TRUE
22,A11,S1_11,16,2,257,18820,7,228,250,18592,19077,0.75,TRUE
23,A12,S1_12,7.8,1,130,19639,2,128,122,19517,19769,0.24,TRUE
24,A12,S1_12,7.4,2,124,19645,2,128,122,19517,19769,0.24,TRUE
25,B01,S2_01,5566,1,20018,178,19849,169,175,3,20196,7.74,TRUE
26,B01,S2_01,5607,2,20024,172,19849,169,175,3,20196,7.74,TRUE
27,B02,S2_02,4390,1,17510,431,17093,417,418,13,17941,3.18,TRUE
28,B02,S2_02,4390,2,17511,430,17093,417,418,13,17941,3.18,TRUE
29,B03,S2_03,3220,1,17740,1228,16635,1105,1102,126,18968,9.14,TRUE
30,B03,S2_03,3220,2,17737,1231,16635,1105,1102,126,18968,9.14,TRUE
31,B04,S2_04,2061,1,14690,3082,12400,2290,2408,674,17772,8.28,TRUE
32,B04,S2_04,2107,2,14808,2964,12400,2290,2408,674,17772,8.28,TRUE
33,B05,S2_05,1021,1,11536,8347,7346,4190,4518,3829,19883,7.82,TRUE
34,B05,S2_05,1068,2,11864,8019,7346,4190,4518,3829,19883,7.82,TRUE
35,B06,S2_06,520,1,7032,12662,3078,3954,4056,8606,19694,7.69,TRUE
36,B06,S2_06,529,2,7134,12560,3078,3954,4056,8606,19694,7.69,TRUE
37,B07,S2_07,265,1,3932,15563,1216,2716,2691,12872,19495,8.15,TRUE
38,B07,S2_07,263,2,3907,15588,1216,2716,2691,12872,19495,8.15,TRUE
39,B08,S2_08,128,1,2116,18450,470,1646,1626,16824,20566,7.58,TRUE
40,B08,S2_08,126,2,2096,18470,470,1646,1626,16824,20566,7.58,TRUE
41,B09,S2_09,64.1,1,1007,17994,185,822,851,17143,19001,7.4,TRUE
42,B09,S2_09,66,2,1036,17965,185,822,851,17143,19001,7.4,TRUE
43,B10,S2_10,33.1,1,552,19323,89,463,426,18897,19875,7.78,TRUE
44,B10,S2_10,30.9,2,515,19360,89,463,426,18897,19875,7.78,TRUE
45,B11,S2_11,16.9,1,297,20525,51,246,260,20265,20822,8.39,TRUE
46,B11,S2_11,17.7,2,311,20511,51,246,260,20265,20822,8.39,TRUE
47,B12,S2_12,8.4,1,146,20414,21,125,109,20305,20560,7.72,TRUE
48,B12,S2_12,7.5,2,130,20430,21,125,109,20305,20560,7.72,TRUE
49,C01,S3_01,5500,1,19097,179,18939,158,171,8,19276,21.14,TRUE
50,C01,S3_01,5590,2,19110,166,18939,158,171,8,19276,21.14,TRUE
51,C02,S3_02,4350,1,18970,481,18566,404,445,36,19451,19.02,TRUE
52,C02,S3_02,4460,2,19011,440,18566,404,445,36,19451,19.02,TRUE
53,C03,S3_03,3160,1,16846,1234,15827,1019,1058,176,18080,16.6,TRUE
54,C03,S3_03,3200,2,16885,1195,15827,1019,1058,176,18080,16.6,TRUE
55,C04,S3_04,2089,1,15788,3218,13556,2232,2270,948,19006,18.87,TRUE
56,C04,S3_04,2103,2,15826,3180,13556,2232,2270,948,19006,18.87,TRUE
57,C05,S3_05,1035,1,11395,8076,7795,3600,3784,4292,19471,17.92,TRUE
58,C05,S3_05,1062,2,11579,7892,7795,3600,3784,4292,19471,17.92,TRUE
59,C06,S3_06,520,1,6635,11944,3484,3151,3218,8726,18579,17.67,TRUE
60,C06,S3_06,526,2,6702,11877,3484,3151,3218,8726,18579,17.67,TRUE
61,C07,S3_07,262,1,3793,15178,1576,2217,2240,12938,18971,16.96,TRUE
62,C07,S3_07,264,2,3816,15155,1576,2217,2240,12938,18971,16.96,TRUE
63,C08,S3_08,126,1,2018,17895,700,1318,1393,16502,19913,15.97,TRUE
64,C08,S3_08,131,2,2093,17820,700,1318,1393,16502,19913,15.97,TRUE
65,C09,S3_09,64.7,1,1014,17939,341,673,698,17241,18953,17.62,TRUE
66,C09,S3_09,66.3,2,1039,17914,341,673,698,17241,18953,17.62,TRUE
67,C10,S3_10,34.8,1,557,18535,173,384,366,18169,19092,17.54,TRUE
68,C10,S3_10,33.7,2,539,18553,173,384,366,18169,19092,17.54,TRUE
69,C11,S3_11,16,1,237,17305,75,162,171,17134,17542,17.66,TRUE
70,C11,S3_11,16.6,2,246,17296,75,162,171,17134,17542,17.66,TRUE
71,C12,S3_12,8.2,1,137,19491,41,96,90,19401,19628,17.67,TRUE
72,C12,S3_12,7.9,2,131,19497,41,96,90,19401,19628,17.67,TRUE
73,D01,S4_01,5286,1,19714,223,19509,205,205,18,19937,28.19,TRUE
74,D01,S4_01,5286,2,19714,223,19509,205,205,18,19937,28.19,TRUE
75,D02,S4_02,4250,1,18237,504,17841,396,444,60,18741,27.64,TRUE
76,D02,S4_02,4370,2,18285,456,17841,396,444,60,18741,27.64,TRUE
77,D03,S4_03,3160,1,17857,1311,16911,946,999,312,19168,31.28,TRUE
78,D03,S4_03,3200,2,17910,1258,16911,946,999,312,19168,31.28,TRUE
79,D04,S4_04,2059,1,16038,3372,13976,2062,2179,1193,19410,26.77,TRUE
80,D04,S4_04,2101,2,16155,3255,13976,2062,2179,1193,19410,26.77,TRUE
81,D05,S4_05,1033,1,11521,8192,8406,3115,3269,4923,19713,27.96,TRUE
82,D05,S4_05,1055,2,11675,8038,8406,3115,3269,4923,19713,27.96,TRUE
83,D06,S4_06,518,1,7058,12753,4325,2733,2780,9973,19811,28.89,TRUE
84,D06,S4_06,523,2,7105,12706,4325,2733,2780,9973,19811,28.89,TRUE
85,D07,S4_07,258,1,3980,16250,2089,1891,1888,14362,20230,27.84,TRUE
86,D07,S4_07,258,2,3977,16253,2089,1891,1888,14362,20230,27.84,TRUE
87,D08,S4_08,128,1,2096,18255,974,1122,1120,17135,20351,26.31,TRUE
88,D08,S4_08,128,2,2094,18257,974,1122,1120,17135,20351,26.31,TRUE
