,WELL,SAMPLE,CONCENTRATION,TARGET,POSITIVES,NEGATIVES,CH1+CH2+,CH1+CH2-,CH1-CH2+,CH1-CH2-,ACCEPTEDDROPLETS,ESTIMATED_PERCENTAGE,SAME_EST_WITHIN_SAMPLE
1,E01,NC,0,1,0,21015,0,0,0,21015,21015,NA,NA
2,F01,NC,0,1,0,19385,0,0,0,19385,19385,NA,NA
3,E01,NC,0,2,0,21015,0,0,0,21015,21015,NA,NA
4,F01,NC,0,2,0,19385,0,0,0,19385,19385,NA,NA
5,G01,NTC,0,1,0,20789,0,0,4,20785,20789,NA,NA
6,H01,NTC,0,1,0,18292,0,0,0,18292,18292,NA,NA
7,G01,NTC,0.23,2,4,20785,0,0,4,20785,20789,NA,NA
8,H01,NTC,0,2,0,18292,0,0,0,18292,18292,NA,NA
9,A01,PC_1,444,1,6204,13536,5822,382,2280,11256,19740,61.22,TRUE
10,A01,PC_1,622,2,8102,11638,5822,382,2280,11256,19740,61.22,TRUE
11,B01,PC_2,235,1,3622,16418,3360,262,1616,14802,20040,60.01,TRUE
12,B01,PC_2,336,2,4976,15064,3360,262,1616,14802,20040,60.01,TRUE
13,C01,PC_3,122,1,1989,18243,1816,173,860,17383,20232,61.65,TRUE
14,C01,PC_3,167,2,2676,17556,1816,173,860,17383,20232,61.65,TRUE
15,D01,PC_4,59.6,1,1043,20066,956,87,493,19573,21109,61.19,TRUE
16,D01,PC_4,83.7,2,1449,19660,956,87,493,19573,21109,61.19,TRUE
17,A02,S01_1,571,1,7891,12636,7350,541,393,12243,20527,85.52,TRUE
18,A02,S01_1,557,2,7743,12784,7350,541,393,12243,20527,85.52,TRUE
19,B02,S01_2,307,1,4946,16610,4536,410,226,16384,21556,86,TRUE
20,B02,S01_2,294,2,4762,16794,4536,410,226,16384,21556,86,TRUE
21,C02,S01_3,155,1,2513,17849,2301,212,122,17727,20362,86.47,TRUE
22,C02,S01_3,149,2,2423,17939,2301,212,122,17727,20362,86.47,TRUE
23,D02,S01_4,76.4,1,1283,19121,1181,102,65,19056,20404,87.2,TRUE
24,D02,S01_4,74.1,2,1246,19158,1181,102,65,19056,20404,87.2,TRUE
25,E02,S02_1,449,1,6480,13933,6087,393,2493,11440,20413,60.12,TRUE
26,E02,S02_1,642,2,8580,11833,6087,393,2493,11440,20413,60.12,TRUE
27,F02,S02_2,221,1,3252,15743,3005,247,1448,14295,18995,60.03,TRUE
28,F02,S02_2,314,2,4453,14542,3005,247,1448,14295,18995,60.03,TRUE
29,G02,S02_3,112,1,1889,18984,1724,165,934,18050,20873,59.02,TRUE
30,G02,S02_3,160,2,2658,18215,1724,165,934,18050,20873,59.02,TRUE
31,H02,S02_4,61.6,1,942,17519,863,79,434,17085,18461,61.64,TRUE
32,H02,S02_4,85.7,2,1297,17164,863,79,434,17085,18461,61.64,TRUE
33,A03,S03_1,288,1,4639,16746,4378,261,4670,12076,21385,39.05,TRUE
