,WELL,SAMPLE,CONCENTRATION,TARGET,POSITIVES,NEGATIVES,CH1+CH2+,CH1+CH2-,CH1-CH2+,CH1-CH2-,ACCEPTEDDROPLETS,ESTIMATED_PERCENTAGE,SAME_EST_WITHIN_SAMPLE
34,A03,S03_1,647,2,9048,12337,4378,261,4670,12076,21385,39.05,TRUE
35,B03,S03_2,152,1,2521,18250,2355,166,2962,15288,20771,38.7,TRUE
36,B03,S03_2,348,2,5317,15454,2355,166,2962,15288,20771,38.7,TRUE
37,C03,S03_3,77,1,1254,18547,1159,95,1617,16930,19801,38.18,TRUE
38,C03,S03_3,178,2,2776,17025,1159,95,1617,16930,19801,38.18,TRUE
39,D03,S03_4,42.8,1,696,18784,638,58,849,17935,19480,40.1,TRUE
40,D03,S03_4,93.4,2,1487,17993,638,58,849,17935,19480,40.1,TRUE
41,E03,S04_1,162,1,2791,18870,2661,130,7545,11325,21661,19.51,TRUE
42,E03,S04_1,750,2,10206,11455,2661,130,7545,11325,21661,19.51,TRUE
43,F03,S04_2,85.1,1,1394,18577,1313,81,4404,14173,19971,19.43,TRUE
44,F03,S04_2,397,2,5717,14254,1313,81,4404,14173,19971,19.43,TRUE
45,G03,S04_3,41.5,1,708,19732,660,48,2478,17254,20440,19.16,TRUE
46,G03,S04_3,196,2,3138,17302,660,48,2478,17254,20440,19.16,TRUE
47,H03,S04_4,21.1,1,367,20244,348,19,1314,18930,20611,19.92,TRUE
48,H03,S04_4,98.9,2,1662,18949,348,19,1314,18930,20611,19.92,TRUE
49,A04,S05_1,73.6,1,1256,19444,1186,70,7995,11449,20700,9.54,TRUE
50,A04,S05_1,690,2,9181,11519,1186,70,7995,11449,20700,9.54,TRUE
51,B04,S05_2,42.3,1,731,19973,677,54,4968,15005,20704,10.05,TRUE
52,B04,S05_2,375,2,5645,15059,677,54,4968,15005,20704,10.05,TRUE
53,C04,S05_3,18.8,1,308,19141,285,23,2653,16488,19449,8.82,TRUE
54,C04,S05_3,193,2,2938,16511,285,23,2653,16488,19449,8.82,TRUE
55,D04,S05_4,11.3,1,206,21282,193,13,1663,19619,21488,9.85,TRUE
56,D04,S05_4,106.3,2,1856,19632,193,13,1663,19619,21488,9.85,TRUE
57,E04,S06_1,43.2,1,728,19455,694,34,8934,10521,20183,5.14,TRUE
58,E04,S06_1,763,2,9628,10555,694,34,8934,10521,20183,5.14,TRUE
59,F04,S06_2,20,1,327,19084,313,14,5222,13862,19411,4.74,TRUE
60,F04,S06_2,395,2,5535,13876,313,14,5222,13862,19411,4.74,TRUE
61,G04,S06_3,11.6,1,199,20157,185,14,3030,17127,20356,5.2,TRUE
62,G04,S06_3,202,2,3215,17141,185,14,3030,17127,20356,5.2,TRUE
63,H04,S06_4,7.1,1,126,20778,114,12,1798,18980,20904,5.59,TRUE
64,H04,S06_4,113,2,1912,18992,114,12,1798,18980,20904,5.59,TRUE
65,A05,S07_1,0,1,0,20175,0,0,9548,10627,20175,NA,NA
66,A05,S07_1,754,2,9548,10627,0,0,9548,10627,20175,NA,NA
67,B05,S07_2,0,1,0,20479,0,0,5750,14729,20479,NA,NA
68,B05,S07_2,388,2,5750,14729,0,0,5750,14729,20479,NA,NA
69,C05,S07_3,0,1,0,19179,0,0,3039,16140,19179,NA,NA
70,C05,S07_3,203,2,3039,16140,0,0,3039,16140,19179,NA,NA
71,D05,S07_4,0.06,1,1,19887,0,1,1700,18187,19888,-0.01,TRUE
72,D05,S07_4,105.1,2,1700,18188,0,1,1700,18187,19888,-0.01,TRUE
73,E05,S08_1,613,1,7778,11376,7233,545,367,11009,19154,85.35,TRUE
74,E05,S08_1,595,2,7600,11554,7233,545,367,11009,19154,85.35,TRUE
75,F05,S08_2,313,1,4668,15297,4293,375,227,15070,19965,85.95,TRUE
76,F05,S08_2,302,2,4520,15445,4293,375,227,15070,19965,85.95,TRUE
77,G05,S08_3,157,1,2511,17605,2315,196,156,17449,20116,85.89,TRUE
78,G05,S08_3,154,2,2471,17645,2315,196,156,17449,20116,85.89,TRUE
79,H05,S08_4,81,1,1339,18786,1218,121,74,18712,20125,85.72,TRUE
80,H05,S08_4,78.1,2,1292,18833,1218,121,74,18712,20125,85.72,TRUE
81,A06,S09_1,586,1,7832,12132,7310,522,372,11760,19964,85.91,TRUE
82,A06,S09_1,572,2,7682,12282,7310,522,372,11760,19964,85.91,TRUE
83,B06,S09_2,312,1,4874,16032,4512,362,225,15807,20906,86.84,TRUE
84,B06,S09_2,302,2,4737,16169,4512,362,225,15807,20906,86.84,TRUE
85,C06,S09_3,161,1,2571,17480,2332,239,154,17326,20051,84.56,TRUE
86,C06,S09_3,156,2,2486,17565,2332,239,154,17326,20051,84.56,TRUE
87,D06,S09_4,76,1,1335,20002,1219,116,64,19938,21337,86.71,TRUE
88,D06,S09_4,73,2,1283,20054,1219,116,64,19938,21337,86.71,TRUE
89,E06,S10_1,591,1,7624,11693,7103,521,397,11296,19317,85.16,TRUE
90,E06,S10_1,578,2,7500,11817,7103,521,397,11296,19317,85.16,TRUE
91,F06,S10_2,326,1,4972,15546,4587,385,227,15319,20518,86.47,TRUE
92,F06,S10_2,315,2,4814,15704,4587,385,227,15319,20518,86.47,TRUE
93,G06,S10_3,162,1,2618,17677,2389,229,126,17551,20295,86.15,TRUE
94,G06,S10_3,156,2,2515,17780,2389,229,126,17551,20295,86.15,TRUE
95,H06,S10_4,84.8,1,1306,17475,1184,122,75,17400,18781,85.22,TRUE
96,H06,S10_4,81.6,2,1259,17522,1184,122,75,17400,18781,85.22,TRUE
97,A07,S11_1,575,1,7776,12330,7251,525,364,11966,20106,85.95,TRUE
98,A07,S11_1,560,2,7615,12491,7251,525,364,11966,20106,85.95,TRUE
99,B07,S11_2,319,1,4804,15421,4428,376,207,15214,20225,86.68,TRUE
100,B07,S11_2,306,2,4635,15590,4428,376,207,15214,20225,86.68,TRUE
101,C07,S11_3,151,1,2272,16642,2063,209,109,16533,18914,85.78,TRUE
102,C07,S11_3,144,2,2172,16742,2063,209,109,16533,18914,85.78,TRUE
103,D07,S11_4,76.8,1,1193,17684,1077,116,78,17606,18877,84.23,TRUE
104,D07,S11_4,74.3,2,1155,17722,1077,116,78,17606,18877,84.23,TRUE
105,E07,S12_1,592,1,7876,12053,7314,562,392,11661,19929,85.05,TRUE
106,E07,S12_1,575,2,7706,12223,7314,562,392,11661,19929,85.05,TRUE
107,F07,S12_2,316,1,4617,14959,4229,388,223,14736,19576,85.56,TRUE
108,F07,S12_2,304,2,4452,15124,4229,388,223,14736,19576,85.56,TRUE
109,G07,S12_3,152,1,2285,16556,2089,196,123,16433,18841,85.87,TRUE
110,G07,S12_3,147,2,2212,16629,2089,196,123,16433,18841,85.87,TRUE
111,H07,S12_4,77.1,1,1196,17666,1088,108,86,17580,18862,84.36,TRUE
112,H07,S12_4,75.6,2,1174,17688,1088,108,86,17580,18862,84.36,TRUE
