Well,ExptType,Experiment,Sample,TargetType,Target,Status,Concentration,Supermix,CopiesPer20uLWell,TotalConfMax,TotalConfMin,PoissonConfMax,PoissonConfMin,Positives,Negatives,Ch1+Ch2+,Ch1+Ch2-,Ch1-Ch2+,Ch1-Ch2-,Linkage,AcceptedDroplets,CNV,TotalCNVMax,TotalCNVMin,PoissonCNVMax,PoissonCNVMin,ReferenceCopies,UnknownCopies,Ratio,TotalRatioMax,TotalRatioMin,PoissonRatioMax,PoissonRatioMin,FractionalAbundance,TotalFractionalAbundanceMax,TotalFractionalAbundanceMin,PoissonFractionalAbundanceMax,PoissonFractionalAbundanceMin,ReferenceAssayNumber,TargetAssayNumber,Threshold,MeanAmplitudeofPositives,MeanAmplitudeofNegatives,MeanAmplitudeTotal,ExperimentComments,MergedWells,TotalConfMax68,TotalConfMin68,PoissonConfMax68,PoissonConfMin68,TotalCNVMax68,TotalCNVMin68,PoissonCNVMax68,PoissonCNVMin68,TotalRatioMax68,TotalRatioMin68,PoissonRatioMax68,PoissonRatioMin68,TotalFractionalAbundanceMax68,TotalFractionalAbundanceMin68,PoissonFractionalAbundanceMax68,PoissonFractionalAbundanceMin68
B05,Absolute Quantification,ABS,S07_2,Ch1Unknown,1,Multi,0,ddPCR Supermix for Probes (no dUTP),0,,,0.16,0,0,21382,0,0,6540,14842,0,21382,,,,,,,,,,,,,,,,,,1,1,0,0,4041.2,4041.2,,,,,0.075,0,,,,,,,,,,,,
B05,Absolute Quantification,ABS,S07_2,Ch2Unknown,2,Multi,430,ddPCR Supermix for Probes (no dUTP),8600,,,440,419,6540,14842,0,0,6540,14842,0,21382,,,,,,,,,,,,,,,,,,1,1,0,8107.3,1169,3291.2,,,,,435,424,,,,,,,,,,,,
C05,Absolute Quantification,ABS,S07_3,Ch1Unknown,1,Multi,0.12,ddPCR Supermix for Probes (no dUTP),2.4,,,0.37,0.02,2,20415,0,2,3391,17024,0,20417,,,,,,,,0.0005,,,0.0014,0,0.05,,,0.14,0,1,1,0,8850.3,4126.8,4127.3,,,,,0.22,0.05,,,,,,,0.00094,0.00014,,,0.094,0.014
C05,Absolute Quantification,ABS,S07_3,Ch2Unknown,2,Multi,214,ddPCR Supermix for Probes (no dUTP),4280,,,221,206,3391,17026,0,2,3391,17024,0,20417,,,,,,,,0.0005,,,0.0014,0,0.05,,,0.14,0,1,1,0,8343.3,1222,2404.7,,,,,217.4,210,,,,,,,0.00094,0.00014,,,0.094,0.014
D05,Absolute Quantification,ABS,S07_4,Ch1Unknown,1,Multi,0,ddPCR Supermix for Probes (no dUTP),0,,,0.17,0,0,20700,0,0,1749,18951,0,20700,,,,,,,,,,,,,,,,,,1,1,0,0,4092.4,4092.4,,,,,0.078,0,,,,,,,,,,,,
D05,Absolute Quantification,ABS,S07_4,Ch2Unknown,2,Multi,103.9,ddPCR Supermix for Probes (no dUTP),2078,,,108.7,99,1749,18951,0,0,1749,18951,0,20700,,,,,,,,,,,,,,,,,,1,1,0,8310.3,1220.3,1819.4,,,,,106.3,101.4,,,,,,,,,,,,
E05,Absolute Quantification,ABS,S08_1,Ch1Unknown,1,Multi,83.7,ddPCR Supermix for Probes (no dUTP),1674,,,88,79.4,1457,19751,1386,71,8832,10919,76.1,21208,,,,,,,,0.108,,,0.114,0.102,9.77,,,10.25,9.28,1,1,0,10558,3985.2,4436.8,,,,,85.9,81.5,,,,,,,0.1113,0.1052,,,10.02,9.52
E05,Absolute Quantification,ABS,S08_1,Ch2Unknown,2,Multi,773,ddPCR Supermix for Probes (no dUTP),15460,,,789,758,10218,10990,1386,71,8832,10919,76.1,21208,,,,,,,,0.108,,,0.114,0.102,9.77,,,10.25,9.28,1,1,0,7765.1,1160,4342.3,,,,,781,766,,,,,,,0.1113,0.1052,,,10.02,9.52
F05,Absolute Quantification,ABS,S08_2,Ch1Unknown,1,Multi,43.3,ddPCR Supermix for Probes (no dUTP),866,,,46.6,40.1,679,18094,635,44,5000,13094,39.4,18773,,,,,,,,0.103,,,0.111,0.095,9.4,,,10,8.7,1,1,0,10915,4072.4,4319.9,,,,,45,41.7,,,,,,,0.1074,0.099,,,9.7,9.01
F05,Absolute Quantification,ABS,S08_2,Ch2Unknown,2,Multi,420,ddPCR Supermix for Probes (no dUTP),8400,,,431,409,5635,13138,635,44,5000,13094,39.4,18773,,,,,,,,0.103,,,0.111,0.095,9.4,,,10,8.7,1,1,0,8158.8,1193.1,3284,,,,,426,414,,,,,,,0.1074,0.099,,,9.7,9.01
G05,Absolute Quantification,ABS,S08_3,Ch1Unknown,1,Multi,20.8,ddPCR Supermix for Probes (no dUTP),416,,,22.9,18.6,356,19979,327,29,2881,17098,18.8,20335,,,,,,,,0.103,,,0.114,0.092,9.3,,,10.3,8.4,1,1,0,11053,4094.4,4216.2,,,,,21.9,19.7,,,,,,,0.109,0.097,,,9.8,8.86
G05,Absolute Quantification,ABS,S08_3,Ch2Unknown,2,Multi,202,ddPCR Supermix for Probes (no dUTP),4040,,,209,195,3208,17127,327,29,2881,17098,18.8,20335,,,,,,,,0.103,,,0.114,0.092,9.3,,,10.3,8.4,1,1,0,8296.6,1216.2,2333.2,,,,,205.6,198.4,,,,,,,0.109,0.097,,,9.8,8.86
