,WELL,SAMPLE,CONCENTRATION,TARGET,POSITIVES,NEGATIVES,CH1+CH2+,CH1+CH2-,CH1-CH2+,CH1-CH2-,ACCEPTEDDROPLETS,ESTIMATED_PERCENTAGE,SAME_EST_WITHIN_SAMPLE
1,E01,NC,0,1,0,20970,0,0,0,20970,20970,NA,NA
2,F01,NC,0,1,0,20672,0,0,0,20672,20672,NA,NA
3,E01,NC,0,2,0,20970,0,0,0,20970,20970,NA,NA
4,F01,NC,0,2,0,20672,0,0,0,20672,20672,NA,NA
5,G01,NTC,0,1,0,19230,0,0,0,19230,19230,NA,NA
6,H01,NTC,0.06,1,1,19291,0,1,0,19291,19292,NA,NA
7,G01,NTC,0,2,0,19230,0,0,0,19230,19230,NA,NA
8,H01,NTC,0,2,0,19292,0,1,0,19291,19292,NA,NA
9,A01,PC_1,417,1,5638,13238,5231,407,287,12951,18876,85.97,TRUE
10,A01,PC_1,407,2,5518,13358,5231,407,287,12951,18876,85.97,TRUE
11,B01,PC_2,213,1,3124,15735,2879,245,182,15553,18859,85.85,TRUE
12,B01,PC_2,208,2,3061,15798,2879,245,182,15553,18859,85.85,TRUE
13,C01,PC_3,108,1,1744,18146,1590,154,102,18044,19890,85.49,TRUE
14,C01,PC_3,104.6,2,1692,18198,1590,154,102,18044,19890,85.49,TRUE
15,D01,PC_4,51.1,1,857,19312,781,76,82,19230,20169,82.79,TRUE
16,D01,PC_4,51.4,2,863,19306,781,76,82,19230,20169,82.79,TRUE
17,A02,S01_1,430,1,5984,13562,5562,422,270,13292,19546,86.68,TRUE
18,A02,S01_1,417,2,5832,13714,5562,422,270,13292,19546,86.68,TRUE
19,B02,S01_2,219,1,3481,17037,3180,301,167,16870,20518,85.93,TRUE
20,B02,S01_2,210,2,3347,17171,3180,301,167,16870,20518,85.93,TRUE
21,C02,S01_3,107,1,1732,18238,1562,170,89,18149,19970,85.13,TRUE
22,C02,S01_3,101.5,2,1651,18319,1562,170,89,18149,19970,85.13,TRUE
23,D02,S01_4,58.4,1,920,18062,830,90,58,18004,18982,84.49,TRUE
24,D02,S01_4,56.4,2,888,18094,830,90,58,18004,18982,84.49,TRUE
25,E02,S02_1,311,1,4379,14447,4091,288,1811,12636,18826,60.75,TRUE
26,E02,S02_1,443,2,5902,12924,4091,288,1811,12636,18826,60.75,TRUE
27,F02,S02_2,167,1,2677,17541,2472,205,1198,16343,20218,60.89,TRUE
28,F02,S02_2,236,2,3670,16548,2472,205,1198,16343,20218,60.89,TRUE
29,G02,S02_3,79.8,1,1343,19147,1219,124,703,18444,20490,58.06,TRUE
30,G02,S02_3,116,2,1922,18568,1219,124,703,18444,20490,58.06,TRUE
31,H02,S02_4,42.4,1,706,19217,647,59,353,18864,19923,60.33,TRUE
32,H02,S02_4,60.6,2,1000,18923,647,59,353,18864,19923,60.33,TRUE
33,A03,S03_1,208,1,3180,16433,2975,205,3415,13018,19613,39.35,TRUE
34,A03,S03_1,464,2,6390,13223,2975,205,3415,13018,19613,39.35,TRUE
35,B03,S03_2,108,1,1779,18445,1649,130,2170,16275,20224,38.72,TRUE
36,B03,S03_2,246,2,3819,16405,1649,130,2170,16275,20224,38.72,TRUE
37,C03,S03_3,55.2,1,961,20011,875,86,1222,18789,20972,38.52,TRUE
38,C03,S03_3,124,2,2097,18875,875,86,1222,18789,20972,38.52,TRUE
