Well,ExptType,Experiment,Sample,TargetType,Target,Status,Concentration,Supermix,CopiesPer20uLWell,TotalConfMax,TotalConfMin,PoissonConfMax,PoissonConfMin,Positives,Negatives,Ch1+Ch2+,Ch1+Ch2-,Ch1-Ch2+,Ch1-Ch2-,Linkage,AcceptedDroplets,CNV,TotalCNVMax,TotalCNVMin,PoissonCNVMax,PoissonCNVMin,ReferenceCopies,UnknownCopies,Ratio,TotalRatioMax,TotalRatioMin,PoissonRatioMax,PoissonRatioMin,FractionalAbundance,TotalFractionalAbundanceMax,TotalFractionalAbundanceMin,PoissonFractionalAbundanceMax,PoissonFractionalAbundanceMin,ReferenceAssayNumber,TargetAssayNumber,Threshold,MeanAmplitudeofPositives,MeanAmplitudeofNegatives,MeanAmplitudeTotal,ExperimentComments,MergedWells,TotalConfMax68,TotalConfMin68,PoissonConfMax68,PoissonConfMin68,TotalCNVMax68,TotalCNVMin68,PoissonCNVMax68,PoissonCNVMin68,TotalRatioMax68,TotalRatioMin68,PoissonRatioMax68,PoissonRatioMin68,TotalFractionalAbundanceMax68,TotalFractionalAbundanceMin68,PoissonFractionalAbundanceMax68,PoissonFractionalAbundanceMin68
E07,Absolute Quantification,ABS,NC,Ch1Negative Control,1,Multi,0,ddPCR Supermix for Probes (no dUTP),0,,,0.17,0,0,20294,0,0,0,20294,0,20294,,,,,,,,,,,,,,,,,,1,1,0,0,3464.4,3464.4,,,,,0.079,0,,,,,,,,,,,,
F07,Absolute Quantification,ABS,NC,Ch1Negative Control,1,Multi,0,ddPCR Supermix for Probes (no dUTP),0,,,0.17,0,0,20994,0,0,0,20994,0,20994,,,,,,,,,,,,,,,,,,1,1,0,0,3539,3539,,,,,0.077,0,,,,,,,,,,,,
E07,Absolute Quantification,ABS,NC,Ch2Negative Control,2,Multi,0,ddPCR Supermix for Probes (no dUTP),0,,,0.17,0,0,20294,0,0,0,20294,0,20294,,,,,,,,,,,,,,,,,,1,1,0,0,1079.4,1079.4,,,,,0.079,0,,,,,,,,,,,,
F07,Absolute Quantification,ABS,NC,Ch2Negative Control,2,Multi,0,ddPCR Supermix for Probes (no dUTP),0,,,0.17,0,0,20994,0,0,0,20994,0,20994,,,,,,,,,,,,,,,,,,1,1,0,0,1109.6,1109.6,,,,,0.077,0,,,,,,,,,,,,
G07,Absolute Quantification,ABS,NTC,Ch1NTC,1,Multi,0.06,ddPCR Supermix for Probes (no dUTP),1.2,,,0.3,0,1,18789,0,1,0,18789,0,18790,,,,,,,,,,,,,,,,,,1,1,0,9349.5,3759.4,3759.7,,,,,0.16,0.02,,,,,,,,,,,,
H07,Absolute Quantification,ABS,NTC,Ch1NTC,1,Multi,0.06,ddPCR Supermix for Probes (no dUTP),1.2,,,0.29,0,1,19092,0,1,0,19092,0,19093,,,,,,,,,,,,,,,,,,1,1,0,10276,3751.2,3751.6,,,,,0.15,0.02,,,,,,,,,,,,
G07,Absolute Quantification,ABS,NTC,Ch2NTC,2,Multi,0,ddPCR Supermix for Probes (no dUTP),0,,,0.19,0,0,18790,0,1,0,18789,0,18790,,,,,,,,,,,,,,,,,,1,1,0,0,1195.3,1195.3,,,,,0.086,0,,,,,,,,,,,,
H07,Absolute Quantification,ABS,NTC,Ch2NTC,2,Multi,0,ddPCR Supermix for Probes (no dUTP),0,,,0.18,0,0,19093,0,1,0,19092,0,19093,,,,,,,,,,,,,,,,,,1,1,0,0,1189.8,1189.8,,,,,0.084,0,,,,,,,,,,,,
A07,Absolute Quantification,ABS,PC_1,Ch1Positive Control,1,Multi,440,ddPCR Supermix for Probes (no dUTP),8800,,,451,429,6641,14649,6192,449,328,14321,404,21290,,,,,,,,,,,,,,,,,,1,1,0,9824.9,3493.2,5468.2,,,,,445,434,,,,,,,,,,,,
A07,Absolute Quantification,ABS,PC_1,Ch2Positive Control,2,Multi,430,ddPCR Supermix for Probes (no dUTP),8600,,,441,420,6520,14770,6192,449,328,14321,404,21290,,,,,,,,,,,,,,,,,,1,1,0,7561.3,1100.7,3079.2,,,,,436,425,,,,,,,,,,,,
