Well,ExptType,Experiment,Sample,TargetType,Target,Status,Concentration,Supermix,CopiesPer20uLWell,TotalConfMax,TotalConfMin,PoissonConfMax,PoissonConfMin,Positives,Negatives,Ch1+Ch2+,Ch1+Ch2-,Ch1-Ch2+,Ch1-Ch2-,Linkage,AcceptedDroplets,CNV,TotalCNVMax,TotalCNVMin,PoissonCNVMax,PoissonCNVMin,ReferenceCopies,UnknownCopies,Ratio,TotalRatioMax,TotalRatioMin,PoissonRatioMax,PoissonRatioMin,FractionalAbundance,TotalFractionalAbundanceMax,TotalFractionalAbundanceMin,PoissonFractionalAbundanceMax,PoissonFractionalAbundanceMin,ReferenceAssayNumber,TargetAssayNumber,Threshold,MeanAmplitudeofPositives,MeanAmplitudeofNegatives,MeanAmplitudeTotal,ExperimentComments,MergedWells,TotalConfMax68,TotalConfMin68,PoissonConfMax68,PoissonConfMin68,TotalCNVMax68,TotalCNVMin68,PoissonCNVMax68,PoissonCNVMin68,TotalRatioMax68,TotalRatioMin68,PoissonRatioMax68,PoissonRatioMin68,TotalFractionalAbundanceMax68,TotalFractionalAbundanceMin68,PoissonFractionalAbundanceMax68,PoissonFractionalAbundanceMin68
F05,Absolute Quantification,ABS,S6_05,Ch1Unknown,2,Manual,61.6,ddPCR Supermix for Probes (no dUTP),1232,,,65.5,57.7,954,17760,911,43,9678,8082,55.3,18714,,,,,,,,0.0627,,,0.0669,0.0585,5.9,,,6.27,5.53,1,1,6490,11049,4278.1,4623.2,,,,,63.6,59.6,,,,,,,0.0648,0.0606,,,6.09,5.71
F05,Absolute Quantification,ABS,S6_05,Ch2Unknown,1,Manual,982,ddPCR Supermix for Probes (no dUTP),19640,,,1001,962,10589,8125,911,43,9678,8082,55.3,18714,,,,,,,,0.0627,,,0.0669,0.0585,5.9,,,6.27,5.53,1,1,4129,8821.1,2303.7,5991.5,,,,,991,972,,,,,,,0.0648,0.0606,,,6.09,5.71
F06,Absolute Quantification,ABS,S6_06,Ch1Unknown,2,Manual,30.4,ddPCR Supermix for Probes (no dUTP),608,,,33.2,27.6,461,17599,427,34,5739,11860,27.1,18060,,,,,,,,0.062,,,0.068,0.056,5.8,,,6.3,5.3,1,1,6490,11074,4302,4474.8,,,,,31.8,29,,,,,,,0.0649,0.0589,,,6.1,5.56
F06,Absolute Quantification,ABS,S6_06,Ch2Unknown,1,Manual,491,ddPCR Supermix for Probes (no dUTP),9820,,,504,479,6166,11894,427,34,5739,11860,27.1,18060,,,,,,,,0.062,,,0.068,0.056,5.8,,,6.3,5.3,1,1,4129,8790.9,2336.1,4539.9,,,,,498,485,,,,,,,0.0649,0.0589,,,6.1,5.56
F07,Absolute Quantification,ABS,S6_07,Ch1Unknown,2,Manual,15.9,ddPCR Supermix for Probes (no dUTP),318,,,17.9,13.9,242,17822,225,17,3219,14603,14.5,18064,,,,,,,,0.064,,,0.072,0.055,6,,,6.7,5.3,1,1,6490,11043,4258.2,4349.1,,,,,16.9,14.8,,,,,,,0.068,0.0595,,,6.37,5.62
F07,Absolute Quantification,ABS,S6_07,Ch2Unknown,1,Manual,249,ddPCR Supermix for Probes (no dUTP),4980,,,257,241,3444,14620,225,17,3219,14603,14.5,18064,,,,,,,,0.064,,,0.072,0.055,6,,,6.7,5.3,1,1,4129,8756.9,2326.8,3552.8,,,,,253.1,244.6,,,,,,,0.068,0.0595,,,6.37,5.62
F08,Absolute Quantification,ABS,S6_08,Ch1Unknown,2,Manual,7.4,ddPCR Supermix for Probes (no dUTP),148,,,8.8,6.1,118,18667,112,6,1745,16922,7,18785,,,,,,,,0.061,,,0.072,0.049,5.7,,,6.7,4.7,1,1,6490,10984,4227.1,4269.5,,,,,8.1,6.7,,,,,,,0.066,0.055,,,6.2,5.2
F08,Absolute Quantification,ABS,S6_08,Ch2Unknown,1,Manual,122,ddPCR Supermix for Probes (no dUTP),2440,,,128,117,1857,16928,112,6,1745,16922,7,18785,,,,,,,,0.061,,,0.072,0.049,5.7,,,6.7,4.7,1,1,4129,8692.5,2324.1,2953.6,,,,,125.3,119.6,,,,,,,0.066,0.055,,,6.2,5.2
F09,Absolute Quantification,ABS,S6_09,Ch1Unknown,2,Manual,4.7,ddPCR Supermix for Probes (no dUTP),94,,,5.9,3.7,70,17431,60,10,799,16632,4.01,17501,,,,,,,,0.08,,,0.099,0.06,7.4,,,9,5.7,1,1,6490,11028,4274.8,4301.8,,,,,5.3,4.2,,,,,,,0.09,0.07,,,8.2,6.5
F09,Absolute Quantification,ABS,S6_09,Ch2Unknown,1,Manual,59.2,ddPCR Supermix for Probes (no dUTP),1184,,,63.2,55.3,859,16642,60,10,799,16632,4.01,17501,,,,,,,,0.08,,,0.099,0.06,7.4,,,9,5.7,1,1,4129,8711.5,2345.2,2657.6,,,,,61.2,57.2,,,,,,,0.09,0.07,,,8.2,6.5
