Well,ExptType,Experiment,Sample,TargetType,Target,Status,Concentration,Supermix,CopiesPer20uLWell,TotalConfMax,TotalConfMin,PoissonConfMax,PoissonConfMin,Positives,Negatives,Ch1+Ch2+,Ch1+Ch2-,Ch1-Ch2+,Ch1-Ch2-,Linkage,AcceptedDroplets,CNV,TotalCNVMax,TotalCNVMin,PoissonCNVMax,PoissonCNVMin,ReferenceCopies,UnknownCopies,Ratio,TotalRatioMax,TotalRatioMin,PoissonRatioMax,PoissonRatioMin,FractionalAbundance,TotalFractionalAbundanceMax,TotalFractionalAbundanceMin,PoissonFractionalAbundanceMax,PoissonFractionalAbundanceMin,ReferenceAssayNumber,TargetAssayNumber,Threshold,MeanAmplitudeofPositives,MeanAmplitudeofNegatives,MeanAmplitudeTotal,ExperimentComments,MergedWells,TotalConfMax68,TotalConfMin68,PoissonConfMax68,PoissonConfMin68,TotalCNVMax68,TotalCNVMin68,PoissonCNVMax68,PoissonCNVMin68,TotalRatioMax68,TotalRatioMin68,PoissonRatioMax68,PoissonRatioMin68,TotalFractionalAbundanceMax68,TotalFractionalAbundanceMin68,PoissonFractionalAbundanceMax68,PoissonFractionalAbundanceMin68
E01,Absolute Quantification,ABS,NC,Ch1Negative Control,1,Multi,0,ddPCR Supermix for Probes (no dUTP),0,,,0.17,0,0,21015,0,0,0,21015,0,21015,,,,,,,,,,,,,,,,,,1,1,0,0,3988.9,3988.9,,,,,0.077,0,,,,,,,,,,,,
F01,Absolute Quantification,ABS,NC,Ch1Negative Control,1,Multi,0,ddPCR Supermix for Probes (no dUTP),0,,,0.18,0,0,19385,0,0,0,19385,0,19385,,,,,,,,,,,,,,,,,,1,1,0,0,4072.5,4072.5,,,,,0.083,0,,,,,,,,,,,,
E01,Absolute Quantification,ABS,NC,Ch2Negative Control,2,Multi,0,ddPCR Supermix for Probes (no dUTP),0,,,0.17,0,0,21015,0,0,0,21015,0,21015,,,,,,,,,,,,,,,,,,1,1,0,0,1566.6,1566.6,,,,,0.077,0,,,,,,,,,,,,
F01,Absolute Quantification,ABS,NC,Ch2Negative Control,2,Multi,0,ddPCR Supermix for Probes (no dUTP),0,,,0.18,0,0,19385,0,0,0,19385,0,19385,,,,,,,,,,,,,,,,,,1,1,0,0,1609.6,1609.6,,,,,0.083,0,,,,,,,,,,,,
G01,Absolute Quantification,ABS,NTC,Ch1NTC,1,Multi,0,ddPCR Supermix for Probes (no dUTP),0,,,0.17,0,0,20789,0,0,4,20785,0,20789,,,,,,,,,,,,,,,,,,1,1,0,0,4422.5,4422.5,,,,,0.077,0,,,,,,,,,,,,
H01,Absolute Quantification,ABS,NTC,Ch1NTC,1,Multi,0,ddPCR Supermix for Probes (no dUTP),0,,,0.19,0,0,18292,0,0,0,18292,0,18292,,,,,,,,,,,,,,,,,,1,1,0,0,4553.9,4553.9,,,,,0.088,0,,,,,,,,,,,,
G01,Absolute Quantification,ABS,NTC,Ch2NTC,2,Multi,0.23,ddPCR Supermix for Probes (no dUTP),4.6,,,0.53,0.07,4,20785,0,0,4,20785,0,20789,,,,,,,,,,,,,,,,,,1,1,0,9022.7,1766.2,1767.6,,,,,0.36,0.13,,,,,,,,,,,,
H01,Absolute Quantification,ABS,NTC,Ch2NTC,2,Multi,0,ddPCR Supermix for Probes (no dUTP),0,,,0.19,0,0,18292,0,0,0,18292,0,18292,,,,,,,,,,,,,,,,,,1,1,0,0,1834.6,1834.6,,,,,0.088,0,,,,,,,,,,,,
A01,Absolute Quantification,ABS,PC_1,Ch1Positive Control,1,Multi,444,ddPCR Supermix for Probes (no dUTP),8880,,,455,433,6204,13536,5822,382,2280,11256,405,19740,,,,,,,,,,,,,,,,,,1,1,0,10986,3949.4,6160.8,,,,,450,438,,,,,,,,,,,,
A01,Absolute Quantification,ABS,PC_1,Ch2Positive Control,2,Multi,622,ddPCR Supermix for Probes (no dUTP),12440,,,635,608,8102,11638,5822,382,2280,11256,405,19740,,,,,,,,,,,,,,,,,,1,1,0,8217.2,1501.5,4257.9,,,,,629,615,,,,,,,,,,,,
