,WELL,SAMPLE,CONCENTRATION,TARGET,POSITIVES,NEGATIVES,CH1+CH2+,CH1+CH2-,CH1-CH2+,CH1-CH2-,ACCEPTEDDROPLETS,ESTIMATED_PERCENTAGE,SAME_EST_WITHIN_SAMPLE
1,A01,1_1,784,1,9891,10442,8670,1221,2585,7857,20333,54.9,TRUE
2,A01,1_1,949,2,11255,9078,8670,1221,2585,7857,20333,54.9,TRUE
3,A02,1_2,401,1,5503,13543,4638,865,1791,11752,19046,55.91,TRUE
4,A02,1_2,484,2,6429,12617,4638,865,1791,11752,19046,55.91,TRUE
5,A03,1_3,206,1,3107,16203,2557,550,1077,15126,19310,57.21,TRUE
6,A03,1_3,245,2,3634,15676,2557,550,1077,15126,19310,57.21,TRUE
7,A04,1_4,102,1,1606,17660,1271,335,625,17035,19266,54.9,TRUE
8,A04,1_4,122,2,1896,17370,1271,335,625,17035,19266,54.9,TRUE
9,A05,1_5,47.9,1,743,17873,581,162,311,17562,18616,54.13,TRUE
10,A05,1_5,57.8,2,892,17724,581,162,311,17562,18616,54.13,TRUE
11,A06,1_6,25.2,1,433,19972,307,126,178,19794,20405,49.66,TRUE
12,A06,1_6,28.3,2,485,19920,307,126,178,19794,20405,49.66,TRUE
13,B01,2_1,829,1,10556,10325,8876,1680,3188,7137,20881,45.91,TRUE
14,B01,2_1,1014,2,12064,8817,8876,1680,3188,7137,20881,45.91,TRUE
15,B02,2_2,424,1,6187,14272,4827,1360,2430,11842,20459,45.98,TRUE
16,B02,2_2,515,2,7257,13202,4827,1360,2430,11842,20459,45.98,TRUE
17,B03,2_3,220,1,3236,15721,2413,823,1393,14328,18957,46.91,TRUE
18,B03,2_3,264,2,3806,15151,2413,823,1393,14328,18957,46.91,TRUE
19,B04,2_4,104,1,1620,17613,1159,461,802,16811,19233,45.26,TRUE
20,B04,2_4,127,2,1961,17272,1159,461,802,16811,19233,45.26,TRUE
21,B05,2_5,54.6,1,871,18339,585,286,396,17943,19210,44.8,TRUE
22,B05,2_5,61.7,2,981,18229,585,286,396,17943,19210,44.8,TRUE
23,B06,2_6,26.2,1,448,19889,285,163,208,19681,20337,42.72,TRUE
24,B06,2_6,28.9,2,493,19844,285,163,208,19681,20337,42.72,TRUE
25,C01,3_1,832,1,10190,9902,8392,1798,3244,6658,20092,42.42,TRUE
26,C01,3_1,1018,2,11636,8456,8392,1798,3244,6658,20092,42.42,TRUE
27,C02,3_2,405,1,6272,15241,4668,1604,2672,12569,21513,41.79,TRUE
28,C02,3_2,491,2,7340,14173,4668,1604,2672,12569,21513,41.79,TRUE
29,C03,3_3,207,1,3336,17328,2322,1014,1697,15631,20664,40.56,TRUE
30,C03,3_3,254,2,4019,16645,2322,1014,1697,15631,20664,40.56,TRUE
31,C04,3_4,109,1,1740,17979,1209,531,841,17138,19719,44.1,TRUE
32,C04,3_4,129,2,2050,17669,1209,531,841,17138,19719,44.1,TRUE
33,C05,3_5,49.9,1,783,18067,515,268,436,17631,18850,40.89,TRUE
34,C05,3_5,60.9,2,951,17899,515,268,436,17631,18850,40.89,TRUE
35,C06,3_6,24.3,1,444,21276,282,162,247,21029,21720,40.13,TRUE
36,C06,3_6,29,2,529,21191,282,162,247,21029,21720,40.13,TRUE
