Well,ExptType,Experiment,Sample,TargetType,Target,Status,Concentration,Supermix,CopiesPer20uLWell,TotalConfMax,TotalConfMin,PoissonConfMax,PoissonConfMin,Positives,Negatives,Ch1+Ch2+,Ch1+Ch2-,Ch1-Ch2+,Ch1-Ch2-,Linkage,AcceptedDroplets,CNV,TotalCNVMax,TotalCNVMin,PoissonCNVMax,PoissonCNVMin,ReferenceCopies,UnknownCopies,Ratio,TotalRatioMax,TotalRatioMin,PoissonRatioMax,PoissonRatioMin,FractionalAbundance,TotalFractionalAbundanceMax,TotalFractionalAbundanceMin,PoissonFractionalAbundanceMax,PoissonFractionalAbundanceMin,ReferenceAssayNumber,TargetAssayNumber,Threshold,MeanAmplitudeofPositives,MeanAmplitudeofNegatives,MeanAmplitudeTotal,ExperimentComments,MergedWells,TotalConfMax68,TotalConfMin68,PoissonConfMax68,PoissonConfMin68,TotalCNVMax68,TotalCNVMin68,PoissonCNVMax68,PoissonCNVMin68,TotalRatioMax68,TotalRatioMin68,PoissonRatioMax68,PoissonRatioMin68,TotalFractionalAbundanceMax68,TotalFractionalAbundanceMin68,PoissonFractionalAbundanceMax68,PoissonFractionalAbundanceMin68
A01,Absolute Quantification,ABS,1_1,Ch1Unknown,1,Multi,785,ddPCR Supermix for Probes (no dUTP),15700,,,801,769,9632,10148,8438,1194,2572,7576,613,19780,,,,,,,,0.821,,,0.844,0.798,45.1,,,45.8,44.4,1,1,0,11993,1755.3,6740.4,,,,,793,777,,,,,,,0.832,0.809,,,45.43,44.72
A02,Absolute Quantification,ABS,1_2,Ch1Unknown,1,Multi,392,ddPCR Supermix for Probes (no dUTP),7840,,,403,382,5652,14282,4794,858,1813,12469,314,19934,,,,,,,,0.828,,,0.858,0.799,45.3,,,46.2,44.4,1,1,0,11910,1741.2,4624.5,,,,,398,387,,,,,,,0.843,0.813,,,45.75,44.85
A03,Absolute Quantification,ABS,1_3,Ch1Unknown,1,Multi,203,ddPCR Supermix for Probes (no dUTP),4060,,,210,196,3099,16430,2530,569,1062,15368,161,19529,,,,,,,,0.85,,,0.891,0.809,45.9,,,47.1,44.8,1,1,0,12182,1787.3,3436.8,,,,,206.9,199.6,,,,,,,0.871,0.829,,,46.6,45.3
A04,Absolute Quantification,ABS,1_4,Ch1Unknown,1,Multi,94.2,ddPCR Supermix for Probes (no dUTP),1884,,,98.9,89.4,1516,18189,1221,295,659,17530,74.5,19705,,,,,,,,0.8,,,0.85,0.74,44.4,,,46.1,42.7,1,1,0,12201,1801.4,2601.5,,,,,96.6,91.8,,,,,,,0.826,0.771,,,45.2,43.5
A05,Absolute Quantification,ABS,1_5,Ch1Unknown,1,Multi,52.6,ddPCR Supermix for Probes (no dUTP),1052,,,56.1,49.1,869,18990,679,190,320,18670,40.7,19859,,,,,,,,0.87,,,0.95,0.79,46.4,,,48.7,44.2,1,1,0,12177,1818,2271.3,,,,,54.4,50.9,,,,,,,0.907,0.827,,,47.6,45.3
A06,Absolute Quantification,ABS,1_6,Ch1Unknown,1,Multi,25.1,ddPCR Supermix for Probes (no dUTP),502,,,27.6,22.6,387,17957,291,96,156,17801,18.8,18344,,,,,,,,0.86,,,0.98,0.75,46.4,,,49.7,43,1,1,0,12169,1822.5,2040.7,,,,,26.4,23.8,,,,,,,0.92,0.8,,,48.1,44.6
A07,Absolute Quantification,ABS,NC,Ch1Negative Control,1,Multi,0,ddPCR Supermix for Probes (no dUTP),0,,,0.18,0,0,19716,0,0,0,19716,0,19716,,,,,,,,,,,,,,,,,,1,1,0,0,1800,1800,,,,,0.082,0,,,,,,,,,,,,
A08,Absolute Quantification,ABS,NC,Ch1Negative Control,1,Multi,0,ddPCR Supermix for Probes (no dUTP),0,,,0.19,0,0,18329,0,0,0,18329,0,18329,,,,,,,,,,,,,,,,,,1,1,0,0,1792.3,1792.3,,,,,0.088,0,,,,,,,,,,,,
B01,Absolute Quantification,ABS,2_1,Ch1Unknown,1,Multi,801,ddPCR Supermix for Probes (no dUTP),16020,,,817,785,9628,9872,7996,1632,3039,6833,549,19500,,,,,,,,0.816,,,0.839,0.793,44.9,,,45.6,44.2,1,1,0,12022,1770.1,6832.1,,,,,809,793,,,,,,,0.827,0.804,,,45.28,44.57
B02,Absolute Quantification,ABS,2_2,Ch1Unknown,1,Multi,404,ddPCR Supermix for Probes (no dUTP),8080,,,414,394,6319,15411,4944,1375,2507,12904,285,21730,,,,,,,,0.818,,,0.846,0.791,45,,,45.8,44.2,1,1,0,11925,1745.5,4705.7,,,,,409,399,,,,,,,0.832,0.804,,,45.43,44.58
B03,Absolute Quantification,ABS,2_3,Ch1Unknown,1,Multi,206,ddPCR Supermix for Probes (no dUTP),4120,,,213,199,3203,16733,2394,809,1381,15352,146,19936,,,,,,,,0.834,,,0.874,0.795,45.5,,,46.7,44.3,1,1,0,12206,1799.6,3471.6,,,,,209.7,202.4,,,,,,,0.854,0.814,,,46.1,44.9
B04,Absolute Quantification,ABS,2_4,Ch1Unknown,1,Multi,106,ddPCR Supermix for Probes (no dUTP),2120,,,111,101,1658,17659,1197,461,773,16886,73.9,19317,,,,,,,,0.83,,,0.89,0.78,45.5,,,47.1,43.9,1,1,0,12153,1804.5,2692.7,,,,,108.2,103,,,,,,,0.862,0.806,,,46.3,44.7
B05,Absolute Quantification,ABS,2_5,Ch1Unknown,1,Multi,48.3,ddPCR Supermix for Probes (no dUTP),966,,,51.6,45.1,843,20101,602,241,440,19661,34,20944,,,,,,,,0.81,,,0.88,0.73,44.6,,,46.8,42.4,1,1,0,12066,1807.1,2220,,,,,50,46.7,,,,,,,0.842,0.768,,,45.7,43.5
B06,Absolute Quantification,ABS,2_6,Ch1Unknown,1,Multi,24.8,ddPCR Supermix for Probes (no dUTP),496,,,27.2,22.3,394,18522,284,110,208,18314,17.7,18916,,,,,,,,0.8,,,0.9,0.69,44.4,,,47.7,41.1,1,1,0,12007,1817.8,2030.1,,,,,26,23.5,,,,,,,0.85,0.74,,,46.1,42.7
B07,Absolute Quantification,ABS,NC,Ch1Negative Control,1,Multi,0,ddPCR Supermix for Probes (no dUTP),0,,,0.18,0,0,19542,0,0,0,19542,0,19542,,,,,,,,,,,,,,,,,,1,1,0,0,1799.2,1799.2,,,,,0.082,0,,,,,,,,,,,,
B08,Absolute Quantification,ABS,NC,Ch1Negative Control,1,Multi,0,ddPCR Supermix for Probes (no dUTP),0,,,0.18,0,0,20048,0,0,0,20048,0,20048,,,,,,,,,,,,,,,,,,1,1,0,0,1785.8,1785.8,,,,,0.08,0,,,,,,,,,,,,
C01,Absolute Quantification,ABS,3_1,Ch1Unknown,1,Multi,794,ddPCR Supermix for Probes (no dUTP),15880,,,811,778,9542,9892,7823,1719,3101,6791,529,19434,,,,,,,,0.818,,,0.841,0.795,45,,,45.7,44.3,1,1,0,12042,1777.9,6817.7,,,,,803,786,,,,,,,0.829,0.806,,,45.34,44.63
C02,Absolute Quantification,ABS,3_2,Ch1Unknown,1,Multi,411,ddPCR Supermix for Probes (no dUTP),8220,,,421,400,6102,14610,4614,1488,2485,12125,274,20712,,,,,,,,0.832,,,0.86,0.803,45.4,,,46.3,44.5,1,1,0,11994,1765.4,4779,,,,,416,405,,,,,,,0.846,0.817,,,45.84,44.97
C03,Absolute Quantification,ABS,3_3,Ch1Unknown,1,Multi,198,ddPCR Supermix for Probes (no dUTP),3960,,,205,191,3270,17861,2397,873,1645,16216,136,21131,,,,,,,,0.792,,,0.828,0.755,44.2,,,45.3,43.1,1,1,0,12118,1791.3,3389.3,,,,,201.3,194.3,,,,,,,0.811,0.773,,,44.8,43.6
C04,Absolute Quantification,ABS,3_4,Ch1Unknown,1,Multi,100,ddPCR Supermix for Probes (no dUTP),2000,,,104.9,95.2,1655,18647,1190,465,847,17800,69.7,20302,,,,,,,,0.8,,,0.86,0.75,44.6,,,46.2,43,1,1,0,12067,1798.4,2635.5,,,,,102.5,97.6,,,,,,,0.831,0.778,,,45.4,43.8
C05,Absolute Quantification,ABS,3_5,Ch1Unknown,1,Multi,49.2,ddPCR Supermix for Probes (no dUTP),984,,,52.5,45.8,833,19514,554,279,445,19069,32.1,20347,,,,,,,,0.83,,,0.91,0.75,45.4,,,47.6,43.1,1,1,0,11935,1798.7,2213.7,,,,,50.9,47.5,,,,,,,0.869,0.791,,,46.5,44.2
C06,Absolute Quantification,ABS,3_6,Ch1Unknown,1,Multi,24.4,ddPCR Supermix for Probes (no dUTP),488,,,26.7,22,410,19602,270,140,212,19390,15.9,20012,,,,,,,,0.85,,,0.96,0.74,45.9,,,49.2,42.6,1,1,0,12002,1804,2013,,,,,25.6,23.2,,,,,,,0.91,0.79,,,47.6,44.3
C07,Absolute Quantification,ABS,NC,Ch1Negative Control,1,Multi,0.06,ddPCR Supermix for Probes (no dUTP),1.2,,,0.3,0,1,18467,0,1,0,18467,0,18468,,,,,,,,,,,,,,,,,,1,1,0,11608,1756.6,1757.2,,,,,0.16,0.02,,,,,,,,,,,,
C08,Absolute Quantification,ABS,NC,Ch1Negative Control,1,Multi,0,ddPCR Supermix for Probes (no dUTP),0,,,0.17,0,0,20262,0,0,0,20262,0,20262,,,,,,,,,,,,,,,,,,1,1,0,0,1772,1772,,,,,0.079,0,,,,,,,,,,,,
D01,Absolute Quantification,ABS,4_1,Ch1Unknown,1,Multi,803,ddPCR Supermix for Probes (no dUTP),16060,,,819,787,9913,10125,7836,2077,3564,6561,480,20038,,,,,,,,0.811,,,0.834,0.789,44.8,,,45.5,44.1,1,1,0,12151,1802.6,6922.1,,,,,811,795,,,,,,,0.823,0.8,,,45.14,44.44
D02,Absolute Quantification,ABS,4_2,Ch1Unknown,1,Multi,397,ddPCR Supermix for Probes (no dUTP),7940,,,408,387,5729,14264,4094,1635,2736,11528,241,19993,,,,,,,,0.808,,,0.836,0.779,44.7,,,45.6,43.8,1,1,0,12102,1792.7,4746.8,,,,,403,392,,,,,,,0.822,0.793,,,45.13,44.24
D03,Absolute Quantification,ABS,4_3,Ch1Unknown,1,Multi,199,ddPCR Supermix for Probes (no dUTP),3980,,,205,192,3321,18062,2242,1079,1793,16269,123,21383,,,,,,,,0.807,,,0.844,0.77,44.7,,,45.8,43.5,1,1,0,12143,1800,3406.4,,,,,202,195.1,,,,,,,0.826,0.788,,,45.2,44.1
D04,Absolute Quantification,ABS,4_4,Ch1Unknown,1,Multi,99,ddPCR Supermix for Probes (no dUTP),1980,,,103.7,94.2,1671,19041,1068,603,962,18079,60.4,20712,,,,,,,,0.82,,,0.87,0.76,44.9,,,46.5,43.3,1,1,0,12032,1796.8,2622.5,,,,,101.4,96.5,,,,,,,0.842,0.789,,,45.7,44.1
D05,Absolute Quantification,ABS,4_5,Ch1Unknown,1,Multi,48.3,ddPCR Supermix for Probes (no dUTP),966,,,51.8,44.8,719,17156,471,248,396,16760,31,17875,,,,,,,,0.83,,,0.91,0.74,45.2,,,47.7,42.8,1,1,0,11690,1769,2168.1,,,,,50.1,46.5,,,,,,,0.867,0.784,,,46.5,44
D06,Absolute Quantification,ABS,4_6,Ch1Unknown,1,Multi,24.4,ddPCR Supermix for Probes (no dUTP),488,,,26.8,22,397,18917,245,152,247,18670,14.9,19314,,,,,,,,0.8,,,0.91,0.7,44.6,,,47.9,41.3,1,1,0,11950,1809.3,2017.7,,,,,25.7,23.2,,,,,,,0.86,0.75,,,46.3,42.9
D07,Absolute Quantification,ABS,NC,Ch1Negative Control,1,Multi,0,ddPCR Supermix for Probes (no dUTP),0,,,0.17,0,0,20344,0,0,0,20344,0,20344,,,,,,,,,,,,,,,,,,1,1,0,0,1804.5,1804.5,,,,,0.079,0,,,,,,,,,,,,
D08,Absolute Quantification,ABS,NC,Ch1Negative Control,1,Multi,0,ddPCR Supermix for Probes (no dUTP),0,,,0.18,0,0,19208,0,0,0,19208,0,19208,,,,,,,,,,,,,,,,,,1,1,0,0,1782,1782,,,,,0.084,0,,,,,,,,,,,,
E01,Absolute Quantification,ABS,5_1,Ch1Unknown,1,Multi,771,ddPCR Supermix for Probes (no dUTP),15420,,,787,755,9496,10261,6827,2669,4164,6097,344,19757,,,,,,,,0.806,,,0.829,0.784,44.6,,,45.3,43.9,1,1,0,12128,1827.2,6778.1,,,,,779,763,,,,,,,0.818,0.795,,,44.99,44.28
E02,Absolute Quantification,ABS,5_2,Ch1Unknown,1,Multi,391,ddPCR Supermix for Probes (no dUTP),7820,,,401,381,5700,14463,3572,2128,3376,11087,184,20163,,,,,,,,0.786,,,0.814,0.759,44,,,44.9,43.2,1,1,0,12062,1815.7,4712.4,,,,,396,386,,,,,,,0.801,0.772,,,44.46,43.58
E03,Absolute Quantification,ABS,5_3,Ch1Unknown,1,Multi,201,ddPCR Supermix for Probes (no dUTP),4020,,,207,194,3374,18140,1834,1540,2281,15859,91.7,21514,,,,,,,,0.804,,,0.84,0.767,44.6,,,45.7,43.4,1,1,0,12137,1813.1,3432.1,,,,,204.2,197.2,,,,,,,0.822,0.785,,,45.1,44
E04,Absolute Quantification,ABS,5_4,Ch1Unknown,1,Multi,94.2,ddPCR Supermix for Probes (no dUTP),1884,,,98.9,89.6,1577,18909,801,776,1243,17666,43.7,20486,,,,,,,,0.76,,,0.81,0.71,43.2,,,44.9,41.6,1,1,0,12031,1812.9,2599.4,,,,,96.6,91.9,,,,,,,0.788,0.737,,,44.1,42.4
E05,Absolute Quantification,ABS,5_5,Ch1Unknown,1,Multi,45.8,ddPCR Supermix for Probes (no dUTP),916,,,49.1,42.5,728,18349,361,367,573,17776,21.7,19077,,,,,,,,0.78,,,0.85,0.7,43.7,,,46,41.3,1,1,0,11971,1816.4,2203.9,,,,,47.5,44.1,,,,,,,0.813,0.737,,,44.9,42.4
E06,Absolute Quantification,ABS,5_6,Ch1Unknown,1,Multi,23.9,ddPCR Supermix for Probes (no dUTP),478,,,26.2,21.6,413,20109,186,227,329,19780,10.5,20522,,,,,,,,0.8,,,0.9,0.7,44.4,,,47.6,41.2,1,1,0,11983,1823.8,2028.3,,,,,25.1,22.7,,,,,,,0.85,0.75,,,46.1,42.8
E07,Absolute Quantification,ABS,NC,Ch1Negative Control,1,Multi,0,ddPCR Supermix for Probes (no dUTP),0,,,0.17,0,0,20621,0,0,0,20621,0,20621,,,,,,,,,,,,,,,,,,1,1,0,0,1799.4,1799.4,,,,,0.078,0,,,,,,,,,,,,
E08,Absolute Quantification,ABS,NC,Ch1Negative Control,1,Multi,0,ddPCR Supermix for Probes (no dUTP),0,,,0.18,0,0,20132,0,0,0,20132,0,20132,,,,,,,,,,,,,,,,,,1,1,0,0,1783.5,1783.5,,,,,0.08,0,,,,,,,,,,,,
F01,Absolute Quantification,ABS,6_1,Ch1Unknown,1,Multi,768,ddPCR Supermix for Probes (no dUTP),15360,,,783,753,9858,10706,6710,3148,4856,5850,261,20564,,,,,,,,0.79,,,0.811,0.768,44.1,,,44.8,43.4,1,1,0,12055,1837.4,6735.7,,,,,776,760,,,,,,,0.801,0.779,,,44.47,43.78
F02,Absolute Quantification,ABS,6_2,Ch1Unknown,1,Multi,394,ddPCR Supermix for Probes (no dUTP),7880,,,404,383,5733,14432,3172,2561,3809,10623,139,20165,,,,,,,,0.787,,,0.815,0.759,44,,,44.9,43.2,1,1,0,12059,1831.8,4739.4,,,,,399,388,,,,,,,0.801,0.773,,,44.49,43.6
F03,Absolute Quantification,ABS,6_3,Ch1Unknown,1,Multi,200,ddPCR Supermix for Probes (no dUTP),4000,,,207,192,3049,16497,1342,1707,2269,14228,66.2,19546,,,,,,,,0.83,,,0.87,0.79,45.4,,,46.6,44.2,1,1,0,12030,1804.9,3399.9,,,,,203.1,195.9,,,,,,,0.851,0.81,,,46,44.8
